Year,Sector,Degree,Period,Reef,Depth2,Transect,Type,Quantity
2009,North,29°N,After,63,Deep,1,Cold Water Corals,5
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,3
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,2
2023,South,28°N,Before,79,Deep,3,Cold Water Corals,1
2023,North,29°N,After,59,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,3
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2023,North,29°N,After,89,Shallow,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,2
2023,South,27°N,Before,86,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,2,Cold Water Corals,4
2023,North,29°N,Before,66,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2009,South,27°N,After,76,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2009,North,29°N,After,5,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,14,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,2
2023,North,29°N,After,5,Shallow,4,Cold Water Corals,1
2010,North,29°N,After,67,Deep,1,Cold Water Corals,3
2009,South,28°N,After,78,Deep,9,Cold Water Corals,2
2023,South,28°N,Before,77,Deep,2,Cold Water Corals,3
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,7
2010,North,29°N,After,67,Deep,1,Cold Water Corals,3
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,5
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2009,North,29°N,After,13,Deep,2,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,3
2023,North,29°N,Before,35,Deep,2,Cold Water Corals,3
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,4
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,4
2023,North,29°N,Before,67,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,81,Shallow,2,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,2
2023,South,26°N,After,27,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,1,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,4,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,6
2023,North,29°N,Before,2,Deep,1,Cold Water Corals,1
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,2
2023,North,29°N,After,59,Shallow,1,Cold Water Corals,3
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,4
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,3,Cold Water Corals,2
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,10
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,3
2009,North,29°N,After,63,Deep,1,Cold Water Corals,6
2009,South,28°N,After,78,Deep,9,Cold Water Corals,1
2009,North,29°N,After,25,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2009,South,26°N,Before,18,Deep,2,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,4,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,4,Cold Water Corals,1
2010,North,29°N,After,67,Deep,1,Cold Water Corals,3
2010,South,28°N,After,79,Deep,2,Cold Water Corals,1
2010,South,27°N,After,74,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,3,Cold Water Corals,3
2010,North,29°N,After,67,Deep,1,Cold Water Corals,1
2009,North,29°N,After,5,Deep,1,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,5
2023,North,29°N,Before,25,Deep,4,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,2,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,4,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,6
2009,North,29°N,After,25,Deep,3,Cold Water Corals,1
2010,North,29°N,After,1,Deep,4,Cold Water Corals,1
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2009,South,26°N,Before,27,Deep,8,Cold Water Corals,1
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,2
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2010,South,26°N,Before,32,Deep,2,Cold Water Corals,1
2009,South,26°N,Before,27,Deep,7,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,4,Cold Water Corals,1
2010,South,24°N,Before,37,Shallow,2,Cold Water Corals,2
2009,South,26°N,Before,14,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,5
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,4,Cold Water Corals,2
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,3
2023,South,27°N,Before,57,Deep,2,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,29,Deep,2,Cold Water Corals,2
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,3
2009,South,26°N,Before,31,Deep,1,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,5
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,1
2010,North,29°N,After,30,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,11
2010,North,29°N,After,30,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,8,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,66,Deep,4,Cold Water Corals,2
2010,North,29°N,After,56,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,3
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2010,North,29°N,After,5,Deep,1,Cold Water Corals,1
2010,North,29°N,After,67,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,3
2023,South,26°N,After,28,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,31,Deep,3,Cold Water Corals,1
2009,South,27°N,After,76,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,10
2023,North,29°N,After,59,Shallow,1,Cold Water Corals,1
2023,North,29°N,After,5,Shallow,2,Cold Water Corals,1
2009,South,26°N,Before,31,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,27,Deep,7,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,4
2009,South,26°N,Before,27,Deep,7,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,2
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,2
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,30
2023,South,27°N,Before,57,Deep,4,Cold Water Corals,3
2010,South,26°N,Before,34,Deep,2,Cold Water Corals,3
2009,North,29°N,After,5,Deep,2,Cold Water Corals,5
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,35,Deep,4,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,1,Cold Water Corals,2
2023,North,29°N,Before,35,Deep,1,Cold Water Corals,6
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,2,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2010,South,28°N,After,79,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,5
2009,South,26°N,Before,27,Deep,4,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,14,Deep,3,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,18,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,1,Cold Water Corals,3
2023,North,29°N,Before,35,Deep,2,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2009,North,29°N,After,63,Deep,2,Cold Water Corals,3
2023,South,27°N,Before,57,Deep,3,Cold Water Corals,4
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,1,Cold Water Corals,2
2010,South,26°N,Before,34,Deep,4,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,4,Cold Water Corals,1
2009,South,26°N,Before,14,Deep,7,Cold Water Corals,1
2023,North,29°N,Before,66,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,3,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,5
2023,South,28°N,Before,79,Deep,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,4
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,3
2009,North,29°N,After,88,Deep,3,Cold Water Corals,2
2023,South,27°N,Before,86,Deep,3,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,5
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,4
2009,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,3,Cold Water Corals,1
2009,South,27°N,After,86,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,1
2010,South,27°N,After,74,Deep,3,Cold Water Corals,1
2009,South,26°N,Before,18,Deep,7,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,South,26°N,After,29,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,5
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,4
2023,North,29°N,Before,35,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,7,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,3,Cold Water Corals,2
2010,South,27°N,After,76,Deep,1,Cold Water Corals,1
2009,North,29°N,After,5,Deep,3,Cold Water Corals,1
2009,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,34,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,4
2023,South,28°N,Before,77,Deep,2,Cold Water Corals,1
2009,South,26°N,Before,34,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,1
2010,South,26°N,Before,14,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,2
2023,North,29°N,After,59,Shallow,1,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,4
2009,North,29°N,After,88,Deep,3,Cold Water Corals,1
2009,South,28°N,After,78,Deep,5,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,8
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2010,South,26°N,Before,27,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,3,Cold Water Corals,2
2010,North,29°N,After,56,Deep,1,Cold Water Corals,1
2009,North,29°N,After,5,Deep,2,Cold Water Corals,2
2023,South,27°N,Before,57,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,3
2010,South,25°N,Before,81,Deep,4,Cold Water Corals,1
2009,North,29°N,After,88,Deep,2,Cold Water Corals,1
2009,South,27°N,After,76,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,4,Cold Water Corals,2
2009,North,29°N,After,5,Deep,5,Cold Water Corals,2
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,2
2023,North,29°N,Before,35,Deep,2,Cold Water Corals,3
2009,South,24°N,After,23,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,2,Cold Water Corals,3
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,1,Cold Water Corals,1
2010,South,27°N,After,74,Deep,4,Cold Water Corals,1
2010,South,26°N,Before,14,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,4,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,14,Deep,8,Cold Water Corals,1
2009,North,29°N,After,25,Deep,1,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,5
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,4
2009,North,29°N,After,88,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,15
2023,South,26°N,After,34,Deep,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,4
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2009,North,29°N,After,89,Deep,2,Cold Water Corals,1
2009,North,29°N,After,88,Deep,1,Cold Water Corals,3
2009,North,29°N,After,88,Deep,1,Cold Water Corals,5
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,1
2009,South,26°N,Before,28,Deep,2,Cold Water Corals,1
2009,North,29°N,After,88,Deep,6,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,4
2010,North,29°N,Before,5,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,1
2010,South,26°N,Before,34,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,6
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,5
2009,South,26°N,Before,14,Deep,1,Cold Water Corals,2
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2009,North,29°N,After,63,Deep,2,Cold Water Corals,8
2009,North,29°N,Before,6,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,88,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,1
2009,South,26°N,Before,34,Deep,7,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,1
2023,South,24°N,Before,43,Deep,4,Cold Water Corals,1
2010,South,27°N,After,74,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,3
2023,North,29°N,Before,35,Deep,1,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,4
2023,North,29°N,Before,35,Deep,1,Cold Water Corals,1
2009,South,27°N,After,76,Deep,2,Cold Water Corals,1
2010,South,26°N,Before,34,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,2
2009,South,26°N,Before,27,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,6
2023,South,26°N,After,31,Deep,1,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2009,South,26°N,Before,34,Deep,1,Cold Water Corals,3
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2009,North,29°N,After,88,Deep,1,Cold Water Corals,1
2010,North,29°N,After,5,Deep,2,Cold Water Corals,1
2010,North,29°N,After,5,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,2
2010,North,30°N,After,8,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2023,South,26°N,After,31,Deep,2,Cold Water Corals,2
2023,South,27°N,Before,86,Deep,1,Cold Water Corals,1
2023,North,29°N,After,2,Shallow,2,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,2,Cold Water Corals,4
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,8
2009,South,27°N,After,74,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,14,Deep,2,Cold Water Corals,1
2009,North,29°N,After,63,Deep,2,Cold Water Corals,5
2009,South,26°N,Before,29,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,34,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,1
2023,South,26°N,After,34,Deep,4,Cold Water Corals,1
2023,South,26°N,After,34,Deep,3,Cold Water Corals,1
2010,South,27°N,After,76,Deep,1,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2009,North,29°N,After,89,Deep,2,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2023,North,30°N,Before,7,Shallow,4,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2010,North,30°N,After,8,Deep,4,Cold Water Corals,2
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2009,South,26°N,Before,34,Deep,7,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2009,North,29°N,After,88,Deep,1,Cold Water Corals,1
2009,North,29°N,After,88,Deep,1,Cold Water Corals,4
2023,North,30°N,Before,7,Deep,1,Cold Water Corals,2
2009,South,26°N,Before,27,Deep,1,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,1,Cold Water Corals,5
2009,South,27°N,After,76,Deep,1,Cold Water Corals,1
2009,North,29°N,After,88,Deep,9,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,5
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2009,North,29°N,After,89,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,4
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,29,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,6
2010,North,29°N,After,67,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,2
2009,South,26°N,Before,29,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,80,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,2
2009,South,27°N,After,76,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,3,Cold Water Corals,1
2009,North,29°N,After,63,Deep,1,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,South,26°N,After,34,Deep,4,Cold Water Corals,2
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2009,North,29°N,After,5,Deep,1,Cold Water Corals,1
2010,North,29°N,Before,5,Shallow,4,Cold Water Corals,2
2023,South,26°N,After,34,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,5
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,5
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,7
2009,North,29°N,After,5,Deep,2,Cold Water Corals,2
2009,North,29°N,After,63,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,4,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,5
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,5
2010,North,29°N,Before,5,Shallow,3,Cold Water Corals,1
2010,North,29°N,After,5,Deep,2,Cold Water Corals,3
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2009,North,29°N,After,25,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,2
2009,North,29°N,After,63,Deep,2,Cold Water Corals,5
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2010,South,27°N,After,76,Deep,1,Cold Water Corals,1
2009,North,29°N,After,88,Deep,6,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,3
2009,South,25°N,Before,81,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,3
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,3
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,1
2023,South,26°N,After,82,Deep,3,Cold Water Corals,1
2023,South,24°N,Before,43,Deep,4,Cold Water Corals,2
2009,North,29°N,After,5,Deep,2,Cold Water Corals,1
2009,North,29°N,After,5,Deep,1,Cold Water Corals,2
2009,North,29°N,After,88,Deep,6,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,2
2009,South,26°N,Before,31,Deep,1,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2009,North,29°N,After,25,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,3,Cold Water Corals,4
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,35,Deep,1,Cold Water Corals,2
2023,North,29°N,Before,59,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,5,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,1,Cold Water Corals,4
2009,South,25°N,Before,52,Deep,7,Cold Water Corals,1
2009,North,29°N,After,5,Deep,5,Cold Water Corals,3
2009,North,29°N,After,5,Deep,5,Cold Water Corals,2
2023,South,27°N,Before,57,Deep,3,Cold Water Corals,4
2023,North,29°N,Before,35,Deep,4,Cold Water Corals,2
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,1,Cold Water Corals,3
2023,South,28°N,Before,78,Deep,4,Cold Water Corals,6
2023,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2023,North,29°N,After,59,Shallow,1,Cold Water Corals,1
2010,North,30°N,After,8,Deep,1,Cold Water Corals,2
2009,South,27°N,After,86,Deep,3,Cold Water Corals,1
2023,North,30°N,Before,7,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,2,Cold Water Corals,7
2009,South,25°N,Before,81,Deep,4,Cold Water Corals,1
2010,South,27°N,After,74,Deep,2,Cold Water Corals,2
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2010,South,27°N,After,76,Deep,1,Cold Water Corals,2
2009,South,26°N,Before,21,Deep,1,Cold Water Corals,1
2010,South,27°N,After,74,Deep,1,Cold Water Corals,1
2010,South,26°N,Before,34,Deep,1,Cold Water Corals,1
